,0
0,0.0008944543828264759
1,0.0009794319294809011
2,0.0009074410163339383
3,0.0010649627263045794
4,0.001519756838905775
5,0.002531645569620253
6,0.004291845493562232
7,0.009174311926605505
8,0.8477157360406091
9,0.8896443514644351
10,0.9097299297077321
11,0.9243061396131202
12,0.9307929969104016
13,0.9256926952141058
14,0.9404189560439561
15,0.9370197126628801
16,0.9090450571620713
17,0.9157670919201832
18,0.938167509836987
19,0.7081761006289308
20,0.6504653567735263
21,0.8358524788391778
22,0.3891149542217701
23,0.0006849315068493151
24,0.0008257638315441783
25,0.001199040767386091
26,0.0005624296962879641
27,0.0006443298969072165
28,0.0005810575246949448
29,0.0012903225806451613
30,0.0013812154696132596
31,0.004149377593360996
32,0.02702702702702703
33,0.005813953488372093
34,0.023255813953488372
35,0.8379549393414212
36,0.4777273939717258
37,0.8212253096752594
38,0.8874506362439667
39,0.9093141885509163
40,0.8963972037999641
41,0.901458019105078
42,0.8919220945083014
43,0.8781971303805365
44,0.9242761692650334
45,0.8797335870599429
46,0.8991373589913736
47,0.5211216314639475
48,0.5549907578558225
49,0.4358974358974359
50,0.6697297297297298
51,0.007692307692307693
52,0.3080168776371308
53,0.0011534025374855825
54,0.0009551098376313276
55,0.0008084074373484236
56,0.0006443298969072165
57,0.0861842105263158
58,0.19179734620024125
59,0.001976284584980237
60,0.002421307506053269
61,0.014925373134328358
62,0.023255813953488372
63,0.012195121951219513
64,0.023255813953488372
65,0.814931650893796
66,0.8415754923413566
67,0.7926908150064683
68,0.8939058171745152
69,0.8985854189336235
70,0.9371275940004109
71,0.9344293272864701
72,0.92225793491362
73,0.9306146115191342
74,0.9235455974842768
75,0.9410480349344978
76,0.8174928954846858
77,0.8585448392554992
78,0.9006550218340611
79,0.7885856079404466
80,0.6840921866216976
81,0.0013698630136986301
82,0.00145985401459854
83,0.0021551724137931034
84,0.8181818181818182
85,0.8770591824283099
86,0.863705759888966
87,0.8566297208538588
88,0.9091568595840722
89,0.8991812032751869
90,0.8901339344914467
91,0.9290015656991449
92,0.9360392909563058
93,0.9281062642133554
94,0.9382025303694743
95,0.9444390243902439
96,0.9461969269063233
97,0.9399331544508779
98,0.9338548099355016
99,0.9584385872932654
100,0.9451495474222747
101,0.9312797347301648
102,0.9376689619994899
103,0.9394950220671251
104,0.9254761534070268
105,0.9130059828599149
106,0.9322683706070287
107,0.9499652536483669
108,0.9253660197480422
109,0.8747260774287802
110,0.9083392603129445
111,0.9412185647106931
112,0.92924470559432
113,0.8904307082357181
114,0.7865266841644795
115,0.706280193236715
116,0.8335570469798658
117,0.9029611130931146
118,0.8933333333333333
119,0.910990099009901
120,0.9423857420151756
121,0.9228288585570722
122,0.9332423296931878
123,0.9436295835922933
124,0.938856618771018
125,0.9609060402684564
126,0.9473038562056643
127,0.95012348330291
128,0.9628241335044929
129,0.9304369918699187
130,0.9525613743706857
131,0.9584577645051194
132,0.9324577861163227
133,0.9490986826900855
134,0.9482553292842681
135,0.9503655015664353
136,0.9616296481157973
137,0.9496113459702714
138,0.941952707856598
139,0.9500682347274625
140,0.9549812030075188
141,0.937912673056443
142,0.9441913439635535
143,0.8999361634216406
144,0.8252984389348026
145,0.8653530377668309
146,0.1799265605875153
147,0.5352729145211123
148,0.7555338994848949
149,0.803860254474876
150,0.8508564139941691
151,0.8649331594391914
152,0.9047045486750744
153,0.9178416128607194
154,0.909085100945566
155,0.9582675784674732
156,0.9511505625600724
157,0.9644704888607327
158,0.9459575611066344
159,0.9368973190632617
160,0.946897859658629
161,0.8987487652288443
162,0.9294658687943262
163,0.9391998136392755
164,0.9554538142671534
165,0.951044776119403
166,0.9093361405355616
167,0.9426944690919846
168,0.937029997520866
169,0.8844386080105056
170,0.8800738007380073
171,0.9613056379821958
172,0.9271378708551483
173,0.8465456155890169
174,0.40515350877192985
175,0.4380697050938338
176,0.8268335273573924
177,0.8746740075340481
178,0.9219760415562387
179,0.8904930536638518
180,0.8820850613970888
181,0.9135915492957747
182,0.9084627533561463
183,0.9357860356196462
184,0.9346000357376854
185,0.9699563611950319
186,0.9338810641627543
187,0.9503743783133847
188,0.9570685896360892
189,0.9549303944315545
190,0.9428990610328638
191,0.9635256489113052
192,0.9700056951211795
193,0.9441484239584002
194,0.9565011179619215
195,0.9574282600799128
196,0.9313937336008643
197,0.9261344537815126
198,0.9107317506890726
199,0.9392988530621078
200,0.9209436566695947
201,0.8783945345858241
202,0.8431171494488593
203,0.8413666870042709
204,0.6901504787961696
205,0.8861728395061729
206,0.8682387423394617
207,0.8923781136895891
208,0.9014943850030949
209,0.9115749223293237
210,0.8986428571428572
211,0.9594968387776607
212,0.9205665793086235
213,0.9495481927710844
214,0.9521734208738963
215,0.9488167001562848
216,0.959166288050886
217,0.9472872644203313
218,0.9429924469488071
219,0.93536376953125
220,0.9554546028140577
221,0.9386807870824344
222,0.9338983050847458
223,0.9400641920178622
224,0.9352927418726125
225,0.9430466999827676
226,0.9398618837521581
227,0.9054450603195305
228,0.9447645290581163
229,0.9180505975477262
230,0.9227065382665991
231,0.9125205030071077
232,0.002577319587628866
233,0.7392102846648301
234,0.8417663293468262
235,0.8441930858690457
236,0.9058649018712917
237,0.87794452887538
238,0.8907899216887981
239,0.8996775611900923
240,0.9085642493194668
241,0.9136262586635282
242,0.9300798035604665
243,0.936382065347007
244,0.9233109465587509
245,0.9184320169004166
246,0.9388532720454821
247,0.9528099798387096
248,0.956732634846721
249,0.9503550850864264
250,0.9500835421888053
251,0.9386485520200214
252,0.9405051174434872
253,0.9356340956340956
254,0.930906733351857
255,0.9435232639935685
256,0.9371105469651512
257,0.9436538737961765
258,0.9405165114309907
259,0.8612553091080698
260,0.7654929577464789
261,0.8850050658561297
262,0.9140354451008352
263,0.8639614855570839
264,0.9132443016367106
265,0.9224764468371467
266,0.9224344662201274
267,0.9087082950719314
268,0.9377060680462995
269,0.934589657833805
270,0.9290717485959488
271,0.9597609325995621
272,0.9453791611585146
273,0.9489891135303266
274,0.9554480980012895
275,0.9548158545551768
276,0.9421886249100072
277,0.9595612922480041
278,0.9183745583038869
279,0.9299141503848432
280,0.9467376830892144
281,0.9217798181336629
282,0.8838729137341644
283,0.9224631981121474
284,0.9473022085546547
285,0.9137772885709045
286,0.8811603243917654
287,0.8496309963099631
288,0.0024330900243309003
289,0.8547595682041217
290,0.9111816019032514
291,0.9083204930662557
292,0.8539412673879444
293,0.8441466854724965
294,0.8811787072243346
295,0.9242579324462641
296,0.619140625
297,0.0038022813688212928
298,0.001430615164520744
299,0.62822936357908
300,0.8135026737967914
301,0.8190984578884934
302,0.8856749311294766
303,0.9321904761904762
304,0.6778503562945368
305,0.7926640926640927
306,0.8607651245551602
307,0.8377034358047016
308,0.3440629470672389
309,0.41139896373056994
310,0.0023584905660377358
311,0.003257328990228013
312,0.9258793969849246
313,0.0017730496453900709
314,0.8635902636916836
315,0.9084119496855346
316,0.8759336099585062
317,0.9095856006697363
318,0.9538528515454942
319,0.9127170342562178
320,0.8445830969937607
